idx,timestamp,symbol,open,high,low,close,volume
549492,2022-12-01 20.35.00,BTC/USDT,16946.06,16946.83,16931.44,16939.92,383
549493,2022-12-01 20.40.00,BTC/USDT,16939.15,16946.43,16925.24,16945.54,646
549494,2022-12-01 20.45.00,BTC/USDT,16945.54,16946.23,16922.18,16928.37,417
549495,2022-12-01 20.50.00,BTC/USDT,16929.1,16933.24,16919.0,16922.69,535
549496,2022-12-01 20.55.00,BTC/USDT,16922.69,16927.47,16909.11,16916.12,506
549497,2022-12-01 21.00.00,BTC/USDT,16917.05,16917.85,16855.01,16891.65,1487
549498,2022-12-01 21.05.00,BTC/USDT,16891.14,16896.49,16868.37,16881.86,619
549499,2022-12-01 21.10.00,BTC/USDT,16881.86,16898.52,16880.17,16896.3,576
549500,2022-12-01 21.15.00,BTC/USDT,16896.3,16926.01,16891.44,16919.66,771
549501,2022-12-01 21.20.00,BTC/USDT,16919.66,16923.68,16907.51,16911.35,393
549502,2022-12-01 21.25.00,BTC/USDT,16911.41,16922.78,16905.78,16913.0,437
549503,2022-12-01 21.30.00,BTC/USDT,16913.0,16926.0,16908.71,16916.68,350
549504,2022-12-01 21.35.00,BTC/USDT,16916.68,16923.9,16905.01,16910.0,493
549505,2022-12-01 21.40.00,BTC/USDT,16910.0,16919.92,16902.74,16919.83,530
549506,2022-12-01 21.45.00,BTC/USDT,16919.41,16932.23,16912.0,16930.96,509
549507,2022-12-01 21.50.00,BTC/USDT,16930.96,16939.27,16923.88,16934.36,526
549508,2022-12-01 21.55.00,BTC/USDT,16934.36,16939.14,16924.0,16924.08,468
549509,2022-12-01 22.00.00,BTC/USDT,16924.08,16933.98,16917.42,16931.24,408
549510,2022-12-01 22.05.00,BTC/USDT,16931.24,16941.28,16930.45,16937.58,310
549511,2022-12-01 22.10.00,BTC/USDT,16936.69,16942.09,16930.91,16940.82,457
549512,2022-12-01 22.15.00,BTC/USDT,16940.82,16953.12,16938.82,16951.05,553
549513,2022-12-01 22.20.00,BTC/USDT,16951.94,16987.29,16946.0,16950.24,1156
549514,2022-12-01 22.25.00,BTC/USDT,16950.24,16951.36,16930.66,16939.99,608
549515,2022-12-01 22.30.00,BTC/USDT,16939.99,16969.95,16939.5,16968.82,514
549516,2022-12-01 22.35.00,BTC/USDT,16969.71,16969.72,16955.53,16956.48,359
549517,2022-12-01 22.40.00,BTC/USDT,16956.48,16969.86,16954.02,16959.77,379
549518,2022-12-01 22.45.00,BTC/USDT,16959.76,16972.6,16959.02,16971.0,238
549519,2022-12-01 22.50.00,BTC/USDT,16971.0,16973.3,16958.76,16965.88,611
549520,2022-12-01 22.55.00,BTC/USDT,16965.88,16979.23,16960.98,16965.24,423
549521,2022-12-01 23.00.00,BTC/USDT,16965.9,16977.97,16950.53,16965.4,1062
549522,2022-12-01 23.05.00,BTC/USDT,16965.94,16969.72,16951.0,16952.43,485
549523,2022-12-01 23.10.00,BTC/USDT,16952.19,16966.66,16950.02,16959.38,376
549524,2022-12-01 23.15.00,BTC/USDT,16960.19,16968.2,16954.25,16961.47,624
549525,2022-12-01 23.20.00,BTC/USDT,16962.31,16963.15,16940.83,16952.04,764
549526,2022-12-01 23.25.00,BTC/USDT,16952.04,16957.6,16942.67,16951.26,400
549527,2022-12-01 23.30.00,BTC/USDT,16951.26,16963.32,16942.02,16957.63,547
549528,2022-12-01 23.35.00,BTC/USDT,16957.63,16977.83,16957.1,16969.1,493
549529,2022-12-01 23.40.00,BTC/USDT,16969.1,16970.23,16955.14,16957.24,618
549530,2022-12-01 23.45.00,BTC/USDT,16956.44,16961.01,16947.73,16951.03,473
549531,2022-12-01 23.50.00,BTC/USDT,16951.03,16962.21,16951.03,16957.68,379
549532,2022-12-01 23.55.00,BTC/USDT,16957.68,16980.24,16956.54,16977.37,679
549533,2022-12-02 00.00.00,BTC/USDT,16978.0,16983.96,16964.06,16966.27,905
549534,2022-12-02 00.05.00,BTC/USDT,16966.27,16976.78,16959.12,16962.81,916
549535,2022-12-02 00.10.00,BTC/USDT,16963.13,16968.0,16953.07,16959.92,656
549536,2022-12-02 00.15.00,BTC/USDT,16960.74,16971.95,16951.46,16970.23,688
549537,2022-12-02 00.20.00,BTC/USDT,16969.33,16978.98,16968.12,16977.1,623
549538,2022-12-02 00.25.00,BTC/USDT,16977.1,16982.06,16969.62,16970.46,562
549539,2022-12-02 00.30.00,BTC/USDT,16969.8,16982.76,16962.34,16967.09,728
549540,2022-12-02 00.35.00,BTC/USDT,16967.09,16983.48,16958.78,16976.44,1293
549541,2022-12-02 00.40.00,BTC/USDT,16976.44,16991.1,16973.06,16986.87,746
549542,2022-12-02 00.45.00,BTC/USDT,16986.87,16989.68,16978.03,16986.89,713
549543,2022-12-02 00.50.00,BTC/USDT,16986.89,17008.0,16982.0,17005.88,1193
549544,2022-12-02 00.55.00,BTC/USDT,17005.08,17046.45,17000.01,17037.82,1749
549545,2022-12-02 01.00.00,BTC/USDT,17037.82,17048.99,17001.4,17015.08,1251
